Testing for version ./zad2_static and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
     count   0.559181   0.000053   0.000003                 14000.txt
      save   0.000055   0.000000   0.000000                 14000.txt
     count   0.638950   0.000058   0.000005                 15000.txt
      save   0.000115   0.000000   0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -Os
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000021   0.000000   0.000000               20 elements
     count   0.286146   0.000027   0.000001                 10000.txt
      save   0.000021   0.000000   0.000000                 10000.txt
     count   0.339079   0.000031   0.000002                 11000.txt
      save   0.000025   0.000000   0.000000                 11000.txt
     count   0.403536   0.000036   0.000005                 12000.txt
      save   0.000033   0.000000   0.000000                 12000.txt
     count   0.473657   0.000043   0.000005                 13000.txt
      save   0.000016   0.000000   0.000000                 13000.txt
     count   0.549504   0.000051   0.000003                 14000.txt
      save   0.000016   0.000000   0.000000                 14000.txt
     count   0.630652   0.000062   0.000002                 15000.txt
      save   0.000016   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000001   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.282533   0.000027   0.000000                 10000.txt
      save   0.000060   0.000000   0.000000                 10000.txt
     count   0.342957   0.000034   0.000001                 11000.txt
      save   0.000034   0.000000   0.000000                 11000.txt
     count   0.405919   0.000038   0.000002                 12000.txt
      save   0.000058   0.000000   0.000000                 12000.txt
     count   0.475526   0.000044   0.000003                 13000.txt
      save   0.000024   0.000000   0.000000                 13000.txt
     count   0.546584   0.000050   0.000005                 14000.txt
      save   0.000027   0.000000   0.000000                 14000.txt
     count   0.627636   0.000058   0.000004                 15000.txt
      save   0.000061   0.000000   0.000000                 15000.txt
Testing for version ./zad2_static and option -O
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000021     0.000000     0.000000               20 elements
       count     0.259352     0.000024     0.000002                 10000.txt
        save     0.000017     0.000000     0.000000                 10000.txt
       count     0.307077     0.000028     0.000002                 11000.txt
        save     0.000024     0.000000     0.000000                 11000.txt
       count     0.365512     0.000034     0.000003                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.428926     0.000041     0.000002                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.497390     0.000046     0.000003                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     0.569589     0.000054     0.000003                 15000.txt
        save     0.000017     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000001     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.255603     0.000023     0.000003                 10000.txt
        save     0.000042     0.000000     0.000000                 10000.txt
       count     0.311230     0.000029     0.000002                 11000.txt
        save     0.000022     0.000000     0.000000                 11000.txt
       count     0.367919     0.000035     0.000001                 12000.txt
        save     0.000043     0.000000     0.000000                 12000.txt
       count     0.435461     0.000042     0.000002                 13000.txt
        save     0.000023     0.000000     0.000000                 13000.txt
       count     0.500785     0.000048     0.000002                 14000.txt
        save     0.000041     0.000000     0.000000                 14000.txt
       count     0.578333     0.000053     0.000005                 15000.txt
        save     0.000122     0.000000     0.000000                 15000.txt
Testing for version ./zad2_shared and option -O
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000021     0.000000     0.000000               20 elements
       count     0.261821     0.000022     0.000003                 10000.txt
        save     0.000019     0.000000     0.000000                 10000.txt
       count     0.310288     0.000029     0.000002                 11000.txt
        save     0.000025     0.000000     0.000000                 11000.txt
       count     0.369634     0.000035     0.000002                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.433961     0.000038     0.000006                 13000.txt
        save     0.000016     0.000000     0.000000                 13000.txt
       count     0.503726     0.000046     0.000004                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     0.577953     0.000055     0.000003                 15000.txt
        save     0.000016     0.000000     0.000000                 15000.txt
      remove     0.000005     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000001     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.259473     0.000024     0.000001                 10000.txt
        save     0.000044     0.000000     0.000000                 10000.txt
       count     0.318898     0.000030     0.000003                 11000.txt
        save     0.000022     0.000000     0.000000                 11000.txt
       count     0.373432     0.000036     0.000001                 12000.txt
        save     0.000089     0.000000     0.000000                 12000.txt
       count     0.442461     0.000041     0.000003                 13000.txt
        save     0.000114     0.000000     0.000000                 13000.txt
       count     0.513523     0.000049     0.000002                 14000.txt
        save     0.000043     0.000000     0.000000                 14000.txt
       count     0.588430     0.000055     0.000005                 15000.txt
        save     0.000057     0.000000     0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000020     0.000000     0.000000               20 elements
       count     0.260844     0.000025     0.000001                 10000.txt
        save     0.000020     0.000000     0.000000                 10000.txt
       count     0.315387     0.000029     0.000002                 11000.txt
        save     0.000026     0.000000     0.000000                 11000.txt
       count     0.369497     0.000033     0.000003                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.433702     0.000041     0.000003                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.503291     0.000048     0.000003                 14000.txt
        save     0.000016     0.000000     0.000000                 14000.txt
       count     0.577119     0.000052     0.000005                 15000.txt
        save     0.000018     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.258842     0.000024     0.000003                 10000.txt
        save     0.000119     0.000000     0.000000                 10000.txt
       count     0.318792     0.000029     0.000002                 11000.txt
        save     0.000117     0.000000     0.000000                 11000.txt
       count     0.377811     0.000037     0.000001                 12000.txt
        save     0.000114     0.000000     0.000000                 12000.txt
       count     0.443468     0.000042     0.000003                 13000.txt
        save     0.000110     0.000000     0.000000                 13000.txt
       count     0.513098     0.000048     0.000003                 14000.txt
        save     0.000040     0.000000     0.000000                 14000.txt
       count     0.590055     0.000056     0.000003                 15000.txt
        save     0.000042     0.000000     0.000000                 15000.txt
Testing for version ./zad2_static and option -O1
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000019     0.000000     0.000000               20 elements
       count     0.262589     0.000024     0.000001                 10000.txt
        save     0.000018     0.000000     0.000000                 10000.txt
       count     0.310602     0.000029     0.000003                 11000.txt
        save     0.000026     0.000000     0.000000                 11000.txt
       count     0.370161     0.000034     0.000003                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.433872     0.000042     0.000001                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.503235     0.000046     0.000004                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     0.577261     0.000052     0.000006                 15000.txt
        save     0.000018     0.000000     0.000000                 15000.txt
      remove     0.000005     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000001     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.258945     0.000022     0.000003                 10000.txt
        save     0.000037     0.000000     0.000000                 10000.txt
       count     0.313312     0.000030     0.000002                 11000.txt
        save     0.000022     0.000000     0.000000                 11000.txt
       count     0.373017     0.000034     0.000004                 12000.txt
        save     0.000023     0.000000     0.000000                 12000.txt
       count     0.438417     0.000042     0.000002                 13000.txt
        save     0.000044     0.000000     0.000000                 13000.txt
       count     0.512911     0.000045     0.000006                 14000.txt
        save     0.000039     0.000000     0.000000                 14000.txt
       count     0.587726     0.000055     0.000003                 15000.txt
        save     0.000039     0.000000     0.000000                 15000.txt
Testing for version ./zad2_shared and option -O1
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000022     0.000000     0.000000               20 elements
       count     0.258920     0.000024     0.000002                 10000.txt
        save     0.000019     0.000000     0.000000                 10000.txt
       count     0.306444     0.000027     0.000002                 11000.txt
        save     0.000025     0.000000     0.000000                 11000.txt
       count     0.365046     0.000034     0.000003                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.428516     0.000041     0.000002                 13000.txt
        save     0.000016     0.000000     0.000000                 13000.txt
       count     0.496924     0.000046     0.000004                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     0.569608     0.000053     0.000004                 15000.txt
        save     0.000016     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.256219     0.000024     0.000001                 10000.txt
        save     0.000039     0.000000     0.000000                 10000.txt
       count     0.315446     0.000030     0.000002                 11000.txt
        save     0.000023     0.000000     0.000000                 11000.txt
       count     0.368471     0.000035     0.000002                 12000.txt
        save     0.000022     0.000000     0.000000                 12000.txt
       count     0.432317     0.000041     0.000002                 13000.txt
        save     0.000064     0.000000     0.000000                 13000.txt
       count     0.504577     0.000046     0.000004                 14000.txt
        save     0.000039     0.000000     0.000000                 14000.txt
       count     0.580193     0.000054     0.000004                 15000.txt
        save     0.000042     0.000000     0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O1
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000020     0.000000     0.000000               20 elements
       count     0.262213     0.000024     0.000001                 10000.txt
        save     0.000020     0.000000     0.000000                 10000.txt
       count     0.310742     0.000029     0.000002                 11000.txt
        save     0.000025     0.000000     0.000000                 11000.txt
       count     0.370288     0.000033     0.000004                 12000.txt
        save     0.000029     0.000000     0.000000                 12000.txt
       count     0.434623     0.000041     0.000003                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.503989     0.000047     0.000003                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     0.576419     0.000054     0.000004                 15000.txt
        save     0.000018     0.000000     0.000000                 15000.txt
      remove     0.000005     0.000000     0.000000                   index 0
      remove     0.000001     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000001     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.260110     0.000025     0.000001                 10000.txt
        save     0.000059     0.000000     0.000000                 10000.txt
       count     0.319334     0.000028     0.000004                 11000.txt
        save     0.000055     0.000000     0.000000                 11000.txt
       count     0.378343     0.000036     0.000002                 12000.txt
        save     0.000057     0.000000     0.000000                 12000.txt
       count     0.442800     0.000039     0.000005                 13000.txt
        save     0.000057     0.000000     0.000000                 13000.txt
       count     0.512681     0.000047     0.000004                 14000.txt
        save     0.000057     0.000000     0.000000                 14000.txt
       count     0.586711     0.000053     0.000006                 15000.txt
        save     0.000056     0.000000     0.000000                 15000.txt
Testing for version ./zad2_static and option -O2
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000021     0.000000     0.000000               20 elements
       count     0.261542     0.000024     0.000001                 10000.txt
        save     0.000017     0.000000     0.000000                 10000.txt
       count     0.310678     0.000029     0.000003                 11000.txt
        save     0.000025     0.000000     0.000000                 11000.txt
       count     0.369531     0.000035     0.000001                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.434507     0.000039     0.000005                 13000.txt
        save     0.000030     0.000000     0.000000                 13000.txt
       count     0.504264     0.000047     0.000003                 14000.txt
        save     0.000018     0.000000     0.000000                 14000.txt
       count     0.578562     0.000051     0.000007                 15000.txt
        save     0.000017     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000001     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.259444     0.000023     0.000003                 10000.txt
        save     0.000040     0.000000     0.000000                 10000.txt
       count     0.317876     0.000030     0.000002                 11000.txt
        save     0.000022     0.000000     0.000000                 11000.txt
       count     0.372553     0.000035     0.000003                 12000.txt
        save     0.000039     0.000000     0.000000                 12000.txt
       count     0.441801     0.000040     0.000004                 13000.txt
        save     0.000031     0.000000     0.000000                 13000.txt
       count     0.511839     0.000045     0.000006                 14000.txt
        save     0.000040     0.000000     0.000000                 14000.txt
       count     0.586268     0.000050     0.000008                 15000.txt
        save     0.000041     0.000000     0.000000                 15000.txt
Testing for version ./zad2_shared and option -O2
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000028     0.000000     0.000000               20 elements
       count     0.257377     0.000023     0.000001                 10000.txt
        save     0.000021     0.000000     0.000000                 10000.txt
       count     0.306146     0.000029     0.000002                 11000.txt
        save     0.000028     0.000000     0.000000                 11000.txt
       count     0.364326     0.000033     0.000004                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.427145     0.000040     0.000003                 13000.txt
        save     0.000018     0.000000     0.000000                 13000.txt
       count     0.495464     0.000045     0.000004                 14000.txt
        save     0.000018     0.000000     0.000000                 14000.txt
       count     0.568939     0.000054     0.000003                 15000.txt
        save     0.000017     0.000000     0.000000                 15000.txt
      remove     0.000005     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000001     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.254986     0.000023     0.000003                 10000.txt
        save     0.000033     0.000000     0.000000                 10000.txt
       count     0.313542     0.000029     0.000002                 11000.txt
        save     0.000023     0.000000     0.000000                 11000.txt
       count     0.368046     0.000034     0.000003                 12000.txt
        save     0.000038     0.000000     0.000000                 12000.txt
       count     0.430662     0.000041     0.000002                 13000.txt
        save     0.000039     0.000000     0.000000                 13000.txt
       count     0.505493     0.000047     0.000004                 14000.txt
        save     0.000033     0.000000     0.000000                 14000.txt
       count     0.577306     0.000052     0.000005                 15000.txt
        save     0.000037     0.000000     0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O2
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000025     0.000000     0.000000               20 elements
       count     0.261840     0.000024     0.000001                 10000.txt
        save     0.000020     0.000000     0.000000                 10000.txt
       count     0.310211     0.000028     0.000003                 11000.txt
        save     0.000025     0.000000     0.000000                 11000.txt
       count     0.368847     0.000034     0.000003                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.433204     0.000038     0.000005                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.503003     0.000048     0.000003                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     0.577890     0.000051     0.000006                 15000.txt
        save     0.000017     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000001     0.000000     0.000000                   index 4
       count     0.258933     0.000025     0.000002                 10000.txt
        save     0.000040     0.000000     0.000000                 10000.txt
       count     0.317702     0.000028     0.000003                 11000.txt
        save     0.000023     0.000000     0.000000                 11000.txt
       count     0.372957     0.000033     0.000005                 12000.txt
        save     0.000039     0.000000     0.000000                 12000.txt
       count     0.441921     0.000040     0.000004                 13000.txt
        save     0.000040     0.000000     0.000000                 13000.txt
       count     0.512146     0.000048     0.000003                 14000.txt
        save     0.000120     0.000000     0.000000                 14000.txt
       count     0.587313     0.000055     0.000004                 15000.txt
        save     0.000113     0.000000     0.000000                 15000.txt
Testing for version ./zad2_static and option -O3
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000020     0.000000     0.000000               20 elements
       count     0.262380     0.000023     0.000003                 10000.txt
        save     0.000016     0.000000     0.000000                 10000.txt
       count     0.310782     0.000029     0.000002                 11000.txt
        save     0.000025     0.000000     0.000000                 11000.txt
       count     0.369946     0.000036     0.000000                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.434336     0.000043     0.000001                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.504299     0.000045     0.000005                 14000.txt
        save     0.000016     0.000000     0.000000                 14000.txt
       count     0.578981     0.000052     0.000006                 15000.txt
        save     0.000017     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000001     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.259816     0.000023     0.000003                 10000.txt
        save     0.000043     0.000000     0.000000                 10000.txt
       count     0.318445     0.000030     0.000002                 11000.txt
        save     0.000023     0.000000     0.000000                 11000.txt
       count     0.372737     0.000036     0.000001                 12000.txt
        save     0.000044     0.000000     0.000000                 12000.txt
       count     0.443494     0.000041     0.000004                 13000.txt
        save     0.000040     0.000000     0.000000                 13000.txt
       count     0.511950     0.000046     0.000004                 14000.txt
        save     0.000039     0.000000     0.000000                 14000.txt
       count     0.588305     0.000053     0.000007                 15000.txt
        save     0.000127     0.000000     0.000000                 15000.txt
Testing for version ./zad2_shared and option -O3
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000027     0.000000     0.000000               20 elements
       count     0.258400     0.000024     0.000001                 10000.txt
        save     0.000020     0.000000     0.000000                 10000.txt
       count     0.306426     0.000029     0.000001                 11000.txt
        save     0.000024     0.000000     0.000000                 11000.txt
       count     0.365438     0.000035     0.000002                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.428860     0.000041     0.000002                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.496948     0.000047     0.000003                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     0.570452     0.000056     0.000001                 15000.txt
        save     0.000017     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000001     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000001     0.000000     0.000000                   index 4
       count     0.256592     0.000023     0.000002                 10000.txt
        save     0.000119     0.000000     0.000000                 10000.txt
       count     0.315467     0.000030     0.000002                 11000.txt
        save     0.000023     0.000000     0.000000                 11000.txt
       count     0.368509     0.000035     0.000002                 12000.txt
        save     0.000118     0.000000     0.000000                 12000.txt
       count     0.438289     0.000041     0.000003                 13000.txt
        save     0.000023     0.000000     0.000000                 13000.txt
       count     0.501163     0.000047     0.000003                 14000.txt
        save     0.000063     0.000000     0.000000                 14000.txt
       count     0.588381     0.000055     0.000003                 15000.txt
        save     0.000023     0.000000     0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O3
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000019     0.000000     0.000000               20 elements
       count     0.262968     0.000023     0.000002                 10000.txt
        save     0.000020     0.000000     0.000000                 10000.txt
       count     0.310944     0.000029     0.000003                 11000.txt
        save     0.000028     0.000000     0.000000                 11000.txt
       count     0.370285     0.000034     0.000003                 12000.txt
        save     0.000016     0.000000     0.000000                 12000.txt
       count     0.434834     0.000040     0.000003                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.504505     0.000048     0.000003                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     0.578017     0.000053     0.000004                 15000.txt
        save     0.000018     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000001     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000001     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.259308     0.000024     0.000003                 10000.txt
        save     0.000039     0.000000     0.000000                 10000.txt
       count     0.318626     0.000029     0.000002                 11000.txt
        save     0.000035     0.000000     0.000000                 11000.txt
       count     0.373155     0.000034     0.000003                 12000.txt
        save     0.000038     0.000000     0.000000                 12000.txt
       count     0.441936     0.000042     0.000003                 13000.txt
        save     0.000023     0.000000     0.000000                 13000.txt
       count     0.507869     0.000046     0.000005                 14000.txt
        save     0.000037     0.000000     0.000000                 14000.txt
       count     0.586422     0.000053     0.000005                 15000.txt
        save     0.000036     0.000000     0.000000                 15000.txt
Testing for version ./zad2_static and option -O0
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000019     0.000000     0.000000               20 elements
       count     0.465826     0.000044     0.000001                 10000.txt
        save     0.000017     0.000000     0.000000                 10000.txt
       count     0.557960     0.000053     0.000004                 11000.txt
        save     0.000026     0.000000     0.000000                 11000.txt
       count     0.670582     0.000061     0.000005                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.785712     0.000076     0.000003                 13000.txt
        save     0.000018     0.000000     0.000000                 13000.txt
       count     0.912195     0.000087     0.000004                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     1.045997     0.000099     0.000006                 15000.txt
        save     0.000017     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000001     0.000000     0.000000                   index 1
      remove     0.000001     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.468011     0.000045     0.000002                 10000.txt
        save     0.000071     0.000000     0.000000                 10000.txt
       count     0.571824     0.000056     0.000000                 11000.txt
        save     0.000043     0.000000     0.000000                 11000.txt
       count     0.679881     0.000066     0.000003                 12000.txt
        save     0.000053     0.000000     0.000000                 12000.txt
       count     0.788785     0.000071     0.000007                 13000.txt
        save     0.000065     0.000000     0.000000                 13000.txt
       count     0.921204     0.000086     0.000007                 14000.txt
        save     0.000043     0.000000     0.000000                 14000.txt
       count     1.057781     0.000100     0.000006                 15000.txt
        save     0.000044     0.000000     0.000000                 15000.txt
Testing for version ./zad2_shared and option -O0
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000026     0.000000     0.000000               20 elements
       count     0.467218     0.000045     0.000001                 10000.txt
        save     0.000019     0.000000     0.000000                 10000.txt
       count     0.558573     0.000053     0.000003                 11000.txt
        save     0.000026     0.000000     0.000000                 11000.txt
       count     0.665085     0.000062     0.000004                 12000.txt
        save     0.000016     0.000000     0.000000                 12000.txt
       count     0.780389     0.000075     0.000004                 13000.txt
        save     0.000016     0.000000     0.000000                 13000.txt
       count     0.904466     0.000086     0.000003                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     1.038557     0.000098     0.000006                 15000.txt
        save     0.000017     0.000000     0.000000                 15000.txt
      remove     0.000005     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000001     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000001     0.000000     0.000000                   index 4
       count     0.464236     0.000046     0.000001                 10000.txt
        save     0.000040     0.000000     0.000000                 10000.txt
       count     0.565984     0.000053     0.000004                 11000.txt
        save     0.000039     0.000000     0.000000                 11000.txt
       count     0.671942     0.000063     0.000004                 12000.txt
        save     0.000023     0.000000     0.000000                 12000.txt
       count     0.783160     0.000075     0.000004                 13000.txt
        save     0.000062     0.000000     0.000000                 13000.txt
       count     0.919479     0.000087     0.000004                 14000.txt
        save     0.000063     0.000000     0.000000                 14000.txt
       count     1.054698     0.000099     0.000006                 15000.txt
        save     0.000024     0.000000     0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O0
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000020     0.000000     0.000000               20 elements
       count     0.468107     0.000044     0.000002                 10000.txt
        save     0.000020     0.000000     0.000000                 10000.txt
       count     0.559630     0.000055     0.000001                 11000.txt
        save     0.000025     0.000000     0.000000                 11000.txt
       count     0.666242     0.000065     0.000002                 12000.txt
        save     0.000016     0.000000     0.000000                 12000.txt
       count     0.781569     0.000072     0.000006                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.906651     0.000087     0.000003                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     1.039232     0.000101     0.000003                 15000.txt
        save     0.000017     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000001     0.000000     0.000000                   index 4
       count     0.465346     0.000046     0.000001                 10000.txt
        save     0.000037     0.000000     0.000000                 10000.txt
       count     0.567116     0.000055     0.000001                 11000.txt
        save     0.000023     0.000000     0.000000                 11000.txt
       count     0.668855     0.000063     0.000004                 12000.txt
        save     0.000050     0.000000     0.000000                 12000.txt
       count     0.783795     0.000076     0.000003                 13000.txt
        save     0.000035     0.000000     0.000000                 13000.txt
       count     0.908724     0.000086     0.000004                 14000.txt
        save     0.000094     0.000000     0.000000                 14000.txt
       count     1.040746     0.000101     0.000004                 15000.txt
        save     0.000023     0.000000     0.000000                 15000.txt
Testing for version ./zad2_static and option -Os
   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000027     0.000000     0.000000               20 elements
       count     0.309154     0.000027     0.000003                 10000.txt
        save     0.000017     0.000000     0.000000                 10000.txt
       count     0.368038     0.000036     0.000001                 11000.txt
        save     0.000027     0.000000     0.000000                 11000.txt
       count     0.437238     0.000041     0.000003                 12000.txt
        save     0.000018     0.000000     0.000000                 12000.txt
       count     0.513835     0.000049     0.000002                 13000.txt
        save     0.000017     0.000000     0.000000                 13000.txt
       count     0.595552     0.000055     0.000004                 14000.txt
        save     0.000017     0.000000     0.000000                 14000.txt
       count     0.682773     0.000064     0.000005                 15000.txt
        save     0.000026     0.000000     0.000000                 15000.txt
      remove     0.000004     0.000000     0.000000                   index 0
      remove     0.000002     0.000000     0.000000                   index 1
      remove     0.000002     0.000000     0.000000                   index 2
      remove     0.000002     0.000000     0.000000                   index 3
      remove     0.000002     0.000000     0.000000                   index 4
       count     0.306315     0.000027     0.000004                 10000.txt
        save     0.000114     0.000000     0.000000                 10000.txt
       count     0.374746     0.000033     0.000004                 11000.txt
        save     0.000045     0.000000     0.000000                 11000.txt
       count     0.445377     0.000041     0.000004                 12000.txt
        save     0.000126     0.000000     0.000000                 12000.txt
       count     0.522629     0.000047     0.000005                 13000.txt
        save     0.000063     0.000000     0.000000                 13000.txt
       count     0.598719     0.000054     0.000005                 14000.txt
        save     0.000041     0.000000     0.000000                 14000.txt
       count     0.685497     0.000065     0.000004                 15000.txt
        save     0.000032     0.000000     0.000000                 15000.txt
