Testing for version ./zad2_static and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
      save   0.000043   0.000000   0.000000                 15000.txt
Testing for version ./zad2_shared and option -O1
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000016   0.000000   0.000000               20 elements
     count   0.253551   0.000024   0.000000                 10000.txt
      save   0.000019   0.000000   0.000000                 10000.txt
     count   0.306498   0.000030   0.000001                 11000.txt
      save   0.000026   0.000000   0.000000                 11000.txt
     count   0.364745   0.000034   0.000003                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.428698   0.000039   0.000003                 13000.txt
      save   0.000016   0.000000   0.000000                 13000.txt
     count   0.497674   0.000046   0.000004                 14000.txt
      save   0.000016   0.000000   0.000000                 14000.txt
     count   0.569913   0.000055   0.000002                 15000.txt
      save   0.000017   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000001   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.256257   0.000023   0.000003                 10000.txt
      save   0.000124   0.000000   0.000000                 10000.txt
     count   0.314513   0.000029   0.000002                 11000.txt
      save   0.000022   0.000000   0.000000                 11000.txt
     count   0.367848   0.000035   0.000002                 12000.txt
      save   0.000044   0.000000   0.000000                 12000.txt
     count   0.436747   0.000042   0.000002                 13000.txt
      save   0.000040   0.000000   0.000000                 13000.txt
     count   0.506088   0.000048   0.000002                 14000.txt
      save   0.000038   0.000000   0.000000                 14000.txt
     count   0.578447   0.000055   0.000003                 15000.txt
      save   0.000125   0.000000   0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O1
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000027   0.000000   0.000000               20 elements
     count   0.263138   0.000024   0.000002                 10000.txt
      save   0.000019   0.000000   0.000000                 10000.txt
     count   0.311130   0.000030   0.000001                 11000.txt
      save   0.000025   0.000000   0.000000                 11000.txt
     count   0.370202   0.000032   0.000004                 12000.txt
      save   0.000028   0.000000   0.000000                 12000.txt
     count   0.435841   0.000038   0.000006                 13000.txt
      save   0.000018   0.000000   0.000000                 13000.txt
